JOB     2.MEA
HVD     466108,323811,16.104
SC      A2109,1.400,
NEZ     1197.015,1217.782,8.941
SD      A2109,1.400,
HVD     447493,323090,15.729
SC      A2110,1.400,
NEZ     1196.588,1191.000,8.650
SD      A2110,1.400,
HVD     849698,326755,16.628
SC      A2111,1.400,
NEZ     1195.255,1187.060,8.580
SD      A2111,1.400,
HVD     860648,326915,20.670
SC      A2112,1.400,
NEZ     1198.922,1215.850,8.990
SD      A2112,1.400,
HVD     439806,322136,13.067
SC      A2113,1.400,
NEZ     1198.357,1185.901,8.641
SD      A2113,1.400,
HVD     893831,326348,20.332
SC      A2114,1.400,
NEZ     1194.404,1161.406,8.400
SD      A2114,1.400,
HVD     918671,326172,44.878
SC      A2115,1.400,
NEZ     1192.837,1158.422,8.334
SD      A2115,1.400,
HVD     915450,326306,48.170
SC      A2116,1.400,
NEZ     1195.626,1156.278,8.382
SD      A2116,1.400,
HVD     929042,326038,49.585
SC      A417C,1.400,
NEZ     1179.514,1092.534,7.686
SD      A417C,1.400,
HVD     924422,326123,115.316
SC      A2117,1.400,
NEZ     1200.974,1157.362,8.325
SD      A2117,1.400,
HVD     950746,326369,47.683
SC      A2118,1.400,
NEZ     1206.282,1194.494,8.821
SD      A2118,1.400,
HVD     980072,325015,10.303
SC      A2119,1.400,
NEZ     1204.841,1197.253,8.858
SD      A2119,1.400,
HVD     943769,324382,7.607
SC      A2120,1.400,
NEZ     1207.686,1206.535,8.824
SD      A2120,1.400,
HVD     158449,327947,2.513
SC      A2121,1.400,
NEZ     1211.651,1206.392,9.027
SD      A2121,1.400,
HVD     55874,318656,5.992
SC      A2122,1.400,
NEZ     1213.656,1208.853,9.062
SD      A2122,1.400,
HVD     99325,319527,8.777
SC      A2123,1.400,
NEZ     1214.943,1207.894,9.089
SD      A2123,1.400,
HVD     68077,319336,9.584
SC      A2124,1.400,
NEZ     1256.099,1207.613,9.407
SD      A2124,1.400,
HVD     11587,321805,50.302
SC      A301C,1.400,
NEZ     1288.856,1197.001,9.716
SD      A301C,1.400,
HVD     1276701,321913,83.346
SC      A302C,1.400,
NEZ     1305.063,1231.613,9.930
SD      A302C,1.400,
HVD     54482,321878,102.753
SC      A303C,1.400,
NEZ     1363.728,1235.317,10.286
SD      A303C,1.400,
HVD     39410,322188,160.780
